gene_id	baseMean_rna	baseMean_ribo	baseMean_5ut	log2FoldChange_rna	padj_rna	log2FoldChange_ribo	padj_ribo	log2FoldChange_riborna	padj_riborna	log2FoldChange_5ut	pval_5ut	symb	biotype	log2FC_5utrcds
ENSG00000182902.13	2.0185243652727	0.247845366578813	0	4.28984722938748	NA	-1.42823635201586	NA	NA	NA	NA	NA	SLC25A18	protein_coding	NA
ENSG00000140519.12	1.98546201230233	0.73577739277277	0	4.26865759706565	NA	3.01211836048656	NA	NA	NA	NA	NA	RHCG	protein_coding	NA
ENSG00000111218.11	1.79057028546791	87.7347469046847	0	4.11728110910747	NA	0.132653926220567	0.905970287675929	-3.97777968533243	NA	NA	NA	PRMT8	protein_coding	NA
ENSG00000134007.3	1.77954950114446	0.520077237677523	0	4.10936301157961	NA	0.075602798953471	NA	NA	NA	NA	NA	ADAM20	protein_coding	NA
ENSG00000280151.1	1.77954950114446	0	NA	4.10936301157961	NA	NA	NA	NA	NA	NA	NA	AC026248.1	protein_coding	NA
ENSG00000205923.3	1.75750793249755	0	0	4.0933558598422	NA	NA	NA	NA	NA	NA	NA	CEMP1	protein_coding	NA
ENSG00000185737.12	1.57363698998658	0	0	3.93028500126745	NA	NA	NA	NA	NA	NA	NA	NRG3	protein_coding	NA
ENSG00000211899.9	1.57363698998658	0	NA	3.93028500126745	NA	NA	NA	NA	NA	NA	NA	IGHM	IG_C_gene	NA
ENSG00000148156.7	1.56261620566313	0	0	3.92124303637049	NA	NA	NA	NA	NA	NA	NA	ACTL7B	protein_coding	NA
ENSG00000276076.4	1.55159542133967	0	0	3.91217632558637	NA	NA	NA	NA	NA	NA	NA	CH507-152C13.3	protein_coding	NA
ENSG00000259224.2	1.3456829101818	0	0	3.70487217991798	NA	NA	NA	NA	NA	NA	NA	SLC35G6	protein_coding	NA
ENSG00000080709.14	1.33466212585834	0.766357197111284	0	3.69432239379197	NA	-0.927466392352297	NA	NA	NA	NA	NA	KCNN2	protein_coding	NA
ENSG00000104518.10	1.33466212585834	0	NA	3.69432239379197	NA	NA	NA	NA	NA	NA	NA	GSDMD	protein_coding	NA
ENSG00000204952.2	1.30159977288798	0	0	3.66136340963391	NA	NA	NA	NA	NA	NA	NA	FBXO47	protein_coding	NA
ENSG00000053328.8	1.13977039902393	0	NA	3.46348957962699	NA	NA	NA	NA	NA	NA	NA	METTL24	protein_coding	NA
ENSG00000283697.1	1.13977039902393	0	NA	3.46348957962699	NA	NA	NA	NA	NA	NA	NA	RP5-937E21.8	protein_coding	NA
ENSG00000138722.9	1.12874961470047	0.766357197111284	0	3.45027053363243	NA	-0.927466392352297	NA	NA	NA	NA	NA	MMRN1	protein_coding	NA
ENSG00000196431.3	1.12874961470047	0	0	3.45027053363243	NA	NA	NA	NA	NA	NA	NA	CRYBA4	protein_coding	NA
ENSG00000064886.13	1.11772883037701	0	0	3.43761698940436	NA	NA	NA	NA	NA	NA	NA	CHI3L2	protein_coding	NA
ENSG00000105131.7	1.11772883037701	0.247845366578813	0	3.43761698940436	NA	-1.42823635201586	NA	NA	NA	NA	NA	EPHX3	protein_coding	NA
ENSG00000122012.13	1.11772883037701	0	0	3.43761698940436	NA	NA	NA	NA	NA	NA	NA	SV2C	protein_coding	NA
ENSG00000163154.5	1.11772883037701	0.249410773723866	0	3.43761698940436	NA	-1.43279845404289	NA	NA	NA	NA	NA	TNFAIP8L2	protein_coding	NA
ENSG00000167741.10	1.11772883037701	0.247845366578813	0	3.43761698940436	NA	-1.42823635201586	NA	NA	NA	NA	NA	GGT6	protein_coding	NA
ENSG00000087237.10	1.10670804605356	0	0	3.42492800682218	NA	NA	NA	NA	NA	NA	NA	CETP	protein_coding	NA
ENSG00000143556.8	1.10670804605356	0.51851183053247	0	3.42492800682218	NA	0.0795614766099754	NA	NA	NA	NA	NA	S100A7	protein_coding	NA
ENSG00000197416.4	1.10670804605356	0	0	3.42492800682218	NA	NA	NA	NA	NA	NA	NA	FABP12	protein_coding	NA
ENSG00000198542.13	1.10670804605356	0	0	3.42492800682218	NA	NA	NA	NA	NA	NA	NA	ITGBL1	protein_coding	NA
ENSG00000205864.1	1.10670804605356	0	0	3.42492800682218	NA	NA	NA	NA	NA	NA	NA	KRTAP5-6	protein_coding	NA
ENSG00000163072.15	1.0956872617301	0.249410773723866	0	3.41205786782225	NA	-1.43279845404289	NA	NA	NA	NA	NA	NOSTRIN	protein_coding	NA
ENSG00000177675.8	1.0956872617301	0.731377011857289	0	3.41205786782225	NA	-1.01774782147797	NA	NA	NA	NA	NA	CD163L1	protein_coding	NA
ENSG00000187134.13	1.0956872617301	1.47931349250921	0	3.41205786782225	NA	-0.00887151074988955	NA	-3.42682937949336	NA	NA	NA	AKR1C1	protein_coding	NA
ENSG00000198643.6	1.0956872617301	0	0	3.41205786782225	NA	NA	NA	NA	NA	NA	NA	FAM3D	protein_coding	NA
ENSG00000214128.10	1.0956872617301	0	0	3.41205786782225	NA	NA	NA	NA	NA	NA	NA	TMEM213	protein_coding	NA
ENSG00000255378.1	1.08466647740665	0	0	3.39838457984904	NA	NA	NA	NA	NA	NA	NA	PRR23D2	protein_coding	NA
ENSG00000011590.13	2.8621649038364	0	0.485448765601756	3.34331660943013	NA	NA	NA	NA	NA	NA	NA	ZBTB32	protein_coding	NA
ENSG00000132872.11	0.91181631921914	0.498821547447732	0	3.14149370743764	NA	-2.43355247276298	NA	NA	NA	NA	NA	SYT4	protein_coding	NA
ENSG00000177398.18	0.91181631921914	0	0	3.14149370743764	NA	NA	NA	NA	NA	NA	NA	UMODL1	protein_coding	NA
ENSG00000198829.6	0.91181631921914	0	0	3.14149370743764	NA	NA	NA	NA	NA	NA	NA	SUCNR1	protein_coding	NA
ENSG00000070915.9	0.900795534895684	0	0	3.12515477799173	NA	NA	NA	NA	NA	NA	NA	SLC12A3	protein_coding	NA
ENSG00000165606.8	0.900795534895684	0	0	3.12515477799173	NA	NA	NA	NA	NA	NA	NA	DRGX	protein_coding	NA
ENSG00000166049.10	0.900795534895684	0	0	3.12515477799173	NA	NA	NA	NA	NA	NA	NA	PASD1	protein_coding	NA
ENSG00000167286.9	0.900795534895684	0	0	3.12515477799173	NA	NA	NA	NA	NA	NA	NA	CD3D	protein_coding	NA
ENSG00000258691.1	0.900795534895684	0.769488011401389	0.276505982723242	3.12515477799173	NA	-0.934834904845801	NA	NA	NA	-6.09260155215452e-06	0.999991184504195	RP11-404P21.8	protein_coding	NA
ENSG00000102239.4	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	BRS3	protein_coding	NA
ENSG00000132972.18	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	RNF17	protein_coding	NA
ENSG00000143125.5	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	PROK1	protein_coding	NA
ENSG00000158517.13	0.889774750572229	0.247845366578813	0	3.10935553025527	NA	-1.42823635201586	NA	NA	NA	NA	NA	NCF1	protein_coding	NA
ENSG00000160202.7	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	CRYAA	protein_coding	NA
ENSG00000165181.16	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	C9orf84	protein_coding	NA
ENSG00000177291.3	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	GJD4	protein_coding	NA
ENSG00000186479.4	0.889774750572229	0.247845366578813	0	3.10935553025527	NA	-1.42823635201586	NA	NA	NA	NA	NA	RGS7BP	protein_coding	NA
ENSG00000189334.8	0.889774750572229	0	0	3.10935553025527	NA	NA	NA	NA	NA	NA	NA	S100A14	protein_coding	NA
ENSG00000083814.13	0.878753966248773	1.50369999702911	0	3.09338607768685	NA	1.01523462222928	NA	-2.08345046351098	NA	NA	NA	ZNF671	protein_coding	NA
ENSG00000100170.9	0.878753966248773	0.49725614030268	0	3.09338607768685	NA	-2.42957951505775	NA	NA	NA	NA	NA	SLC5A1	protein_coding	NA
ENSG00000106631.8	0.878753966248773	0	0	3.09338607768685	NA	NA	NA	NA	NA	NA	NA	MYL7	protein_coding	NA
ENSG00000123342.15	0.878753966248773	0	0	3.09338607768685	NA	NA	NA	NA	NA	NA	NA	MMP19	protein_coding	NA
ENSG00000151475.5	0.878753966248773	0.232555464409556	0	3.09338607768685	NA	1.42444933637285	NA	NA	NA	NA	NA	SLC25A31	protein_coding	NA
ENSG00000154016.13	0.878753966248773	0.77388839231687	0	3.09338607768685	NA	3.07448054980919	NA	NA	NA	NA	NA	GRAP	protein_coding	NA
ENSG00000164761.8	0.878753966248773	0.503221928363213	0	3.09338607768685	NA	2.45865080347384	NA	NA	NA	NA	NA	TNFRSF11B	protein_coding	NA
ENSG00000233136.2	0.878753966248773	0	NA	3.09338607768685	NA	NA	NA	NA	NA	NA	NA	USP17L11	protein_coding	NA
ENSG00000105967.15	0.867733181925317	0	0	3.07651535923559	NA	NA	NA	NA	NA	NA	NA	TFEC	protein_coding	NA
ENSG00000146166.16	0.867733181925317	0	0	3.07651535923559	NA	NA	NA	NA	NA	NA	NA	LGSN	protein_coding	NA
ENSG00000235387.2	0.867733181925317	0	0	3.07651535923559	NA	NA	NA	NA	NA	NA	NA	LINC00961	protein_coding	NA
ENSG00000136286.14	2.39523595990337	0	0	3.07257189651718	NA	NA	NA	NA	NA	NA	NA	MYO1G	protein_coding	NA
ENSG00000101489.19	2.64269646164156	1.75907655881351	0.242724382800878	2.87252322998333	NA	2.59941655160878	NA	-0.343774714446494	NA	-11.0217018243112	0.257570896369835	CELF4	protein_coding	NA
ENSG00000107165.12	0.683862239414355	0.249410773723866	0	2.72638186870687	NA	-1.43279845404289	NA	NA	NA	NA	NA	TYRP1	protein_coding	NA
ENSG00000144583.4	0.683862239414355	0	0	2.72638186870687	NA	NA	NA	NA	NA	NA	NA	MARCH4	protein_coding	NA
ENSG00000148386.9	0.683862239414355	0	NA	2.72638186870687	NA	NA	NA	NA	NA	NA	NA	LCN9	protein_coding	NA
